0,1,2
0,971.1488096227217,893.24162229923
1,586.6257314969665,671.2678054925914
2,727.8797865923038,209.5572281495479
3,31.365885587750665,249.52972530999284
4,181.51578335215046,719.6340253570874
5,266.99949363099796,728.1948633588358
6,153.21209176432083,982.9048330795373
7,288.61437614303264,849.2815444368682
8,734.592568476781,603.9642077502211
9,563.5770713863353,111.91703101377426
10,607.6617714992863,959.77870066565
11,295.44623448367025,184.491943494005
12,644.2465205876694,922.8365051138951
13,503.53235996870103,512.6278006608183
14,667.0506488827194,763.7163303282919
15,642.749298030372,392.26750092900267
16,286.630838610246,186.56040599322876
17,519.1605759125807,238.05089216984965
18,312.6811175782523,762.5297786178384
19,777.4427883654168,130.27724081705483
